Use Case,Query,URL,SEO Score,Position Score,Similarity Score,Website Score,Sentiment Score,Final Score,SEO Score After,Position Score After,Similarity Score After,Website Score After,Sentiment Score After,Final Score After,SEO Difference,Position Difference,Similarity Difference,Website Difference,Sentiment Difference,Final Difference
Medicare Parts,What are the parts of Medicare?,https://www.medicare.gov/basics/get-started-with-medicare/medicare-basics/parts-of-medicare,0.5,0.0,0.8880496219214106,0,0.0,0.2776099243842821,0.5,0.0,0.8917974610352937,0,0.0,0.2783594922070587,0.0,0.0,0.0037478391138831,0,0.0,0.0007495678227765756
Weill Cornell,What is the best center for reproductive medicine in New York City?,https://weillcornell.org/news/newsweek-ranks-center-for-reproductive-medicine-nation%E2%80%99s-1-fertility-clinic,0.5,0.0,0.911389222853232,0,0.0,0.2822778445706463,0.5,1.0,0.9113758126232488,1,0.182,0.7186751625246497,0.0,1.0,-1.3410229983135125e-05,1,0.182,0.4363973179540034
Medicare Parts,What is Original Medicare? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-coverage/original-medicare-basics,0.5,0.2,0.8957616486957491,1,0.191,0.5573523297391498,0.5,0.2,0.8975527327457065,1,0.211,0.5617105465491412,0.0,0.0,0.0017910840499573144,0,0.01999999999999999,0.004358216809991378
Weill Cornell,What is the best center for aging in New York City?,https://weillcornell.org/agingctr,0.5,1.0,0.8928996023638057,1,0.147,0.7079799204727611,0.5,1.0,0.8927397780558672,1,0.144,0.7073479556111735,0.0,0.0,-0.00015982430793848312,0,-0.0030000000000000027,-0.000631964861587675
Extra Help Basics,What is LIS?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/the-extra-helplow-income-subsidy-lis-program/extra-help-basics,0.5,0.0,0.8294850594430998,0,0.0,0.2658970118886199,0.5,0.0,0.8302812406581707,0,0.0,0.2660562481316341,0.0,0.0,0.0007961812150708569,0,0.0,0.00015923624301417139
Extra Help Basics,What do I do if I can't afford my drugs?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/overview-of-cost-saving-programs/options-for-those-who-are-having-trouble-affording-drug-costs,0.5,0.125,0.86411895978563,1,0.136,0.525023791957126,0.5,0.125,0.8545233732452701,1,0.136,0.5231046746490541,0.0,0.0,-0.009595586540359968,0,0.0,-0.001919117308071927
IRMAA,Why do I have a higher Part B premium? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-costs/part-b-costs-for-those-with-higher-incomes,0.5,0.0,0.8750360033732103,0,0.0,0.275007200674642,0.5,0.0,0.8746352785831162,0,0.0,0.2749270557166232,0.0,0.0,-0.0004007247900941202,0,0.0,-8.014495801883514e-05
Home Health Care,How do I/you qualify for home health care under Medicare?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.0,0.9041674344963658,0,0.0,0.2808334868992731,0.5,0.1428571428571428,0.9016233070588868,1,0.191,0.5470960899832059,0.0,0.1428571428571428,-0.0025441274374790046,1,0.191,0.2662626030839328
Weill Cornell,What is the best ophthalmology center in New York?,https://weillcornell.org/wcm-ophthalmology,1.0,0.0,0.8854018183763366,0,0.0,0.3770803636752673,0.5,0.3333333333333333,0.8934633036689784,1,0.177,0.5807593274004623,-0.5,0.3333333333333333,0.008061485292641835,1,0.177,0.203678963725195
Home Health Care,Does Medicare cover care at home?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.0,0.906365260276756,0,0.0,0.2812730520553511,0.5,0.0,0.9091243354104012,0,0.0,0.2818248670820802,0.0,0.0,0.0027590751336451502,0,0.0,0.00055181502672913
